category,cement_co2,coal_co2,flaring_co2,gas_co2,land_use_change_co2,oil_co2,other_industry_co2
Slovakia,1.49,9.478,0.057,8.46,-0.637,10.407,0.847
Slovenia,0.49,2.949,0.113,1.57,1.846,6.087,0.119
Solomon Islands,0.0,,0.0,,5.397,0.303,
Somalia,,,0.0,,23.278,0.558,
South Africa,5.282,329.773,0.044,9.433,0.695,57.361,
South Korea,22.918,251.87,0.006,122.051,-15.136,170.389,10.183
South Sudan,0.0,,0.0,,10.306,1.58,
Spain,7.928,13.553,3.824,60.778,-9.47,132.89,2.644
Sri Lanka,1.504,5.965,0.0,,5.45,12.849,
Sudan,1.556,,0.249,,17.447,18.197,
Suriname,0.02,,0.0,0.013,0.958,2.615,
Sweden,1.259,6.79,0.012,1.388,7.055,25.365,1.742
Switzerland,1.667,0.431,0.022,5.568,-0.299,24.881,0.168
Syria,0.873,0.009,2.036,6.148,-0.515,16.438,
Taiwan,4.982,145.029,0.0,61.062,,49.087,0.993
Tajikistan,1.955,3.396,0.0,0.479,0.9,3.225,
Tanzania,2.519,2.54,0.0,3.798,40.571,9.209,
Thailand,19.248,59.327,0.395,81.075,32.98,104.343,
Togo,0.92,,0.0,0.228,0.244,1.472,
Tonga,0.0,,0.0,,0.018,0.199,
Trinidad and Tobago,0.282,,0.271,30.399,-0.202,3.365,
Tunisia,4.245,,0.348,13.823,1.558,14.377,
Turkey,38.27,157.878,0.21,97.466,-31.569,131.864,6.389
Turkmenistan,0.801,0.0,2.211,41.842,-0.077,18.508,
Turks and Caicos Islands,0.0,,0.0,,,0.371,
Tuvalu,0.0,,0.0,,0.0,0.012,
Uganda,0.628,0.0,0.0,,3.166,4.986,
Ukraine,4.339,53.043,2.253,41.139,1.524,32.81,2.877
United Arab Emirates,5.239,9.257,1.705,127.187,-0.021,85.996,
United Kingdom,3.616,17.556,3.26,123.221,9.528,154.927,2.567
United States,39.714,776.767,63.294,1755.923,115.708,2250.856,24.837
Uruguay,0.355,0.0,0.0,0.166,0.298,7.345,
Uzbekistan,6.157,15.054,0.743,92.339,-0.9,10.475,
Vanuatu,0.0,,0.0,,-0.314,0.226,
Venezuela,0.986,0.673,15.617,30.257,5.068,52.036,
Vietnam,51.314,192.077,1.259,14.475,95.871,75.601,
Wallis and Futuna,0.0,,0.0,,,0.031,
Yemen,0.629,0.67,0.841,0.398,0.82,7.498,
Zambia,1.059,2.388,0.0,,60.478,4.303,
Zimbabwe,0.531,7.271,0.0,,7.403,3.362,
